https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=465&discid=908 - סימני דרך,יהורם גאון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=497&discid=472 - מאזן האהבות,יוסי בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=497&discid=471 - יוסי בנאי,יוסי בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=497&discid=473 - אם נדע לאהוב,יוסי בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=517&discid=1441 - עניין של הרגל,יזהר אשדות
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=552&discid=801 - בושם על עורי,ירדנה ארזי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=552&discid=604 - מתוך שאהבתי,ירדנה ארזי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=552&discid=605 - אנשים זרים,ירדנה ארזי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=450&discid=931 - פגישה לאין קץ,יגאל בשן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=450&discid=932 - שמיים תחייכו,יגאל בשן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=450&discid=934 - תלוי רק בך,יגאל בשן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=10348&discid=933 - דע מאין באת,ישראל בר און
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=615&discid=686 - הנה זה מתחיל,יפתי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=557&discid=1224 - חשק,ירמי קפלן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=557&discid=674 - הזמן אבוד,ירמי קפלן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=557&discid=675 - לרע ולטוב,ירמי קפלן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=547&discid=409 - מחזיק מעמד,יצחק קלפטר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=547&discid=408 - לבד,יצחק קלפטר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=547&discid=407 - יצחק,יצחק קלפטר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1086&discid=303 - זמן,יאיר זיו
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1917&discid=1460 - בין הצלילים,יונתן רזאל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=7406&discid=1346 - סוד החיים,יקיר ונה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=563&discid=370 - צפוף באוזן,כוורת
